"ntacode","ntaname","unit_area_acres","canopy_loss_acres","canopy_gain_acres","canopy_unchanged_acres","canopy2010_acres","canopy2017_acres","netcanopychange_acres","canopy2010percent","canopy2017percent","netcanopychange_percent","relativecanopychange_percent","treecount2015_all","treecount2015_notstump","treecount2015_alive","spc_mostcommon_living","roadmiles","livingtree_x_mile2015","med_dbh_living","cnt_dbh_lt6_living","pct_lt6_dbh_living","cnt_dbh_gt30_living","pct_gt30_dbh_living","max_capacity","stockingrate_2015_living","treeecount1995_notps_notstump","treecount1995_living","treecount2005_all","treecount2005_living"
"BK09","Brooklyn Heights-Cobble Hill",229.1938843,6.503214568,14.33127707,41.34803878,47.85125335,55.67931586,7.828062504,20.87806727,24.29354344,3.415476171,16.35915876,1734,1705,1685,"London planetree",12.7,132.71,11,283,16.795,4,0.237,1970,0.8553,1485,1457,2079,2051
"BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",1454.1234,80.20545383,58.36484338,192.6704977,272.8759515,251.0353411,-21.84061045,18.76566676,17.26368898,-1.501977786,-8.003860483,5252,4978,4891,"London planetree",66.47,73.58,14,1226,25.066,248,5.071,8905,0.5492,4973,4852,5275,5243
"BK19","Brighton Beach",394.3991554,21.24056608,14.02663083,33.46284415,54.70341023,47.48947498,-7.213935246,13.87006272,12.04096772,-1.829095004,-13.18735928,1248,1185,1141,"London planetree",19.55,58.35,10,365,31.989,76,6.661,2292,0.4978,1207,1174,1055,1047
"BK21","Seagate-Coney Island",890.3131444,41.02911987,25.92527868,45.81399091,86.84311078,71.73926959,-15.1038412,9.754220897,8.057756985,-1.696463912,-17.3921006,1495,1450,1357,"honeylocust",19.76,68.68,5,748,55.122,6,0.442,2413,0.5624,421,394,1398,1389
"BK23","West Brighton",200.6176228,13.7241907,6.42550535,24.06015912,37.78434982,30.48566447,-7.298685349,18.83401333,15.19590554,-3.638107783,-19.31668901,486,467,459,"London planetree",6.98,65.73,11,166,36.166,13,2.832,721,0.6366,273,267,366,365
"BK25","Homecrest",688.5208386,21.61384667,32.46053887,80.08227388,101.6961206,112.5428128,10.8466922,14.77023132,16.34559282,1.575361499,10.66578759,4240,4152,4072,"London planetree",31.56,129.03,11,1161,28.512,276,6.778,5105,0.7976,2529,2467,3165,3123
"BK26","Gravesend",719.509887,17.19428955,31.92116679,77.18392812,94.37821766,109.1050949,14.72687724,13.1170147,15.1638076,2.046792894,15.60410612,1411,1360,1323,"London planetree",24.18,54.71,15,272,20.559,48,3.628,2703,0.4895,942,930,1117,1108
"BK27","Bath Beach",471.4188771,8.618914286,20.90668614,43.17469491,51.7936092,64.08138105,12.28777185,10.98674909,13.59329975,2.60655066,23.72449428,1745,1696,1671,"London planetree",19.11,87.43,11,422,25.254,53,3.172,2589,0.6454,1472,1441,1276,1272
"BK28","Bensonhurst West",1071.40886,19.98733307,39.35477611,83.15318449,103.1405176,122.5079606,19.36744304,9.626625414,11.43428669,1.807661274,18.77772528,4247,4166,4091,"London planetree",46.29,88.37,12,1049,25.642,270,6.6,6383,0.6409,3077,3020,3751,3723
"BK29","Bensonhurst East",821.3468395,17.07854322,29.4195989,65.90518238,82.9837256,95.32478128,12.34105568,10.10337188,11.60591077,1.502538889,14.87165777,3356,3274,3244,"London planetree",37.37,86.8,12,909,28.021,157,4.84,4866,0.6667,1832,1785,2637,2615
"BK30","Dyker Heights",686.8384712,16.03345037,29.00807174,74.46541793,90.49886831,103.4734897,12.97462136,13.17615016,15.06518549,1.889035327,14.33677747,3246,3149,3086,"London planetree",31.19,98.94,13,672,21.776,203,6.578,4283,0.7205,2968,2912,3608,3568
"BK31","Bay Ridge",1542.085058,38.84429934,85.44525203,246.8299713,285.6742706,332.2752233,46.60095269,18.52519543,21.5471398,3.021944377,16.31261807,6902,6711,6606,"London planetree",50.81,130.01,12,1516,22.949,595,9.007,8143,0.8112,5484,5384,6386,6338
"BK32","Sunset Park West",1147.610532,16.25145886,32.11386378,57.64740376,73.89886262,89.76126755,15.86240492,6.439367764,7.82157928,1.382211516,21.46501903,3256,3188,3114,"London planetree",45.21,68.88,5,1655,53.147,25,0.803,4566,0.682,1372,1332,1635,1609
"BK33","Carroll Gardens-Columbia Street-Red Hook",1023.910058,27.37091021,41.57848145,103.2098433,130.5807536,144.7883248,14.20757124,12.75314687,14.14072688,1.387580006,10.88029503,4319,4237,4136,"London planetree",44.61,92.71,9,1374,33.221,25,0.604,5374,0.7696,2249,2221,3445,3411
"BK34","Sunset Park East",622.3634074,13.57088129,26.72755542,65.80272907,79.37361036,92.53028449,13.15667413,12.75357925,14.86756506,2.113985812,16.57562768,3204,3121,3020,"London planetree",25.64,117.77,8,1265,41.887,97,3.212,3770,0.8011,1468,1415,2140,2104
"BK35","Stuyvesant Heights",721.0040272,25.64541863,50.55937302,117.7694714,143.4148901,168.3288445,24.91395439,19.89099709,23.34644997,3.455452876,17.371944,3879,3833,3773,"London planetree",35.24,107.06,10,1193,31.619,60,1.59,4697,0.8033,1855,1779,2702,2665
"BK37","Park Slope-Gowanus",975.8736487,32.51310612,52.96415669,140.8276978,173.340804,193.7918545,20.45105057,17.76262779,19.85829362,2.095665827,11.79817452,6107,5969,5895,"London planetree",45.54,129.45,11,1538,26.09,75,1.272,6843,0.8615,4433,4364,5818,5781
"BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",653.7610766,12.89259485,33.48467262,92.34933084,105.2419257,125.8340035,20.59207777,16.09791856,19.24770501,3.149786444,19.56642054,2989,2937,2881,"London planetree",35.09,82.09,8,902,31.309,13,0.451,4146,0.6949,1947,1901,3094,3070
"BK40","Windsor Terrace",322.3537166,9.293316272,22.10151725,54.33985597,63.63317224,76.44137322,12.80820098,19.74017018,23.71350764,3.973337461,20.1281824,2083,2043,2030,"London planetree",15.21,133.49,11,515,25.369,61,3.005,2385,0.8512,1334,1322,1819,1813
"BK41","Kensington-Ocean Parkway",364.8600753,11.21002916,21.20729936,47.94487812,59.15490728,69.15217748,9.997270203,16.21303927,18.95306781,2.740028543,16.90015362,2259,2180,2153,"London planetree",16.23,132.69,11,557,25.871,112,5.202,2693,0.7995,1157,1140,2026,2002
"BK42","Flatbush",1038.90744,43.56118979,72.691973,192.8726997,236.4338895,265.5646727,29.13078321,22.75793593,25.56191847,2.80398254,12.32090005,5926,5773,5713,"London planetree",48.21,118.5,12,1352,23.665,487,8.524,7322,0.7803,5874,5762,5971,5910
"BK43","Midwood",821.845163,39.78410176,56.48014774,136.6363469,176.4204487,193.1164946,16.69604598,21.46638523,23.49791704,2.031531818,9.463781611,4860,4713,4664,"London planetree",35.75,130.46,13,1032,22.127,222,4.76,5624,0.8293,4557,4495,4826,4785
"BK44","Madison",628.5390745,24.22928397,32.61048471,85.53211431,109.7613983,118.142599,8.381200738,17.4629395,18.79638098,1.33344148,7.63583634,3565,3415,3362,"London planetree",28.13,119.53,14,878,26.115,285,8.477,4162,0.8078,2939,2863,3163,3146
